date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:49	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6468eead-3e1a149c6a775268;gz%22	https://gladiators.co.in/robots.txt		(from )
21:44:50	8505/8505	---M-Z	200	added ('OK')	text/html	etag:%222139-649d28de-14579333b76f36a0;gz%22	https://gladiators.co.in/	E:/gladiators/gladiators.co.in/index.html	(from )
21:44:50	5495/5495	---M-Z	200	added ('OK')	image/svg+xml	etag:%221577-648afe6b-9634c73bbce931cc;gz%22	https://gladiators.co.in/images/logo.svg	E:/gladiators/gladiators.co.in/images/logo.svg	(from https://gladiators.co.in/)
21:44:51	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	E:/gladiators/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://gladiators.co.in/)
21:44:51	13268/13268	---M-Z	200	added ('OK')	text/css	etag:%2233d4-649d2725-3aef0d0d689457c8;gz%22	https://gladiators.co.in/css/index.css	E:/gladiators/gladiators.co.in/css/index.css	(from https://gladiators.co.in/)
21:44:51	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%225eb09ed3-15d84%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.min.js	E:/gladiators/cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://gladiators.co.in/)
21:44:51	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	E:/gladiators/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://gladiators.co.in/)
21:44:51	8505/8505	---M-Z	200	added ('OK')	text/html	etag:%222139-649d28de-14579333b76f36a0;gz%22	https://gladiators.co.in/index.html	E:/gladiators/gladiators.co.in/index-2.html	(from https://gladiators.co.in/)
21:44:52	33988/33988	---M--	200	added ('OK')	image/png	etag:%2284c4-648afdcb-6be165d572380bbf;;;%22	https://gladiators.co.in/images/Logo.png	E:/gladiators/gladiators.co.in/images/Logo.png	(from https://gladiators.co.in/)
21:44:52	699/699	---M-Z	200	added ('OK')	image/svg+xml	etag:%222bb-648afc67-c68c2a55943b702a;gz%22	https://gladiators.co.in/images/facebook.svg	E:/gladiators/gladiators.co.in/images/facebook.svg	(from https://gladiators.co.in/)
